d1,c1,d2,c2,d3,c3,cluster
19.0,0.3,27.0,0.13,35.0,0.57,1
19.0,0.285,27.0,0.116,35.0,0.53,1
19.0,0.238,52.0,0.496,35.0,0.741,1
19.0,0.29,27.0,0.235,35.0,0.66,1
64.0,1.335,7.0,0.53,23.0,0.525,1
7.0,0.387,27.0,0.052,35.0,0.668,1
34.0,0.575,23.0,0.588,64.0,1.35,2
32.0,0.62,27.0,0.44,35.0,0.57,1
19.0,0.243,35.0,0.72,52.0,0.5,2
16.0,0.356,21.0,0.365,31.0,0.37,1
16.0,0.091,27.0,0.255,35.0,0.95,1
19.0,0.296,27.0,0.133,35.0,0.57,1
19.0,0.24,52.0,0.505,35.0,0.745,1
34.0,0.53,23.0,0.57,64.0,1.36,2
19.0,0.29,27.0,0.24,35.0,0.68,1
19.0,0.215,27.0,0.19,35.0,0.66,1
8.0,0.41,27.0,0.17,64.0,0.83,2
16.0,0.47,27.0,0.57,35.0,0.665,1
7.0,0.55,23.0,0.57,64.0,1.31,2
16.0,0.085,27.0,0.248,35.0,0.95,1
19.0,0.225,27.0,0.191,35.0,0.666,1
19.0,0.301,27.0,0.131,35.0,0.572,1
8.0,0.4,27.0,0.172,64.0,0.835,2
19.0,0.22,27.0,0.2,35.0,0.675,1
19.0,0.22,27.0,0.2,35.0,0.675,1
16.0,0.0676,55.0,1.526,66.0,0.705,2
7.0,0.53,23.0,0.52,64.0,1.36,2
19.0,0.218,27.0,0.2,35.0,0.672,1
16.0,0.0315,27.0,0.033,35.0,0.9,1
16.0,0.03,55.0,1.54,66.0,0.53,2
16.0,0.36,21.0,0.37,31.0,0.38,1
16.0,0.0308,27.0,0.033,35.0,0.88,1
16.0,0.028,56.0,1.53,66.0,0.56,2
19.0,0.238,52.0,0.496,35.0,0.741,1
16.0,0.53,21.0,0.44,31.0,0.57,1
6.0,0.34,27.0,0.24,64.0,1.1,2
19.0,0.18,27.0,0.175,35.0,0.546,1
34.0,0.296,27.0,0.162,31.0,0.16,1
19.0,0.18,27.0,0.176,35.0,0.547,1
16.0,0.015,8.0,0.2,58.0,1.02,2
19.0,0.26,27.0,0.125,35.0,0.56,1
7.0,0.545,23.0,0.632,64.0,1.385,2
7.0,0.53,23.0,0.525,64.0,1.335,2
16.0,0.06,55.0,1.5,66.0,0.645,2
19.0,0.243,35.0,0.72,52.0,0.5,2
19.0,0.31,27.0,0.127,35.0,0.56,1
16.0,0.349,21.0,0.36,31.0,0.369,1
16.0,0.083,27.0,0.244,35.0,0.904,1
19.0,0.24,35.0,0.72,52.0,0.51,2
19.0,0.22,27.0,0.188,35.0,0.655,1
