d1,c1,d2,c2,d3,c3,cluster
17.0,0.0587,23.0,0.029,31.0,0.045,1
3.0,0.041,4.0,0.0455,5.0,0.059,1
3.0,0.0028,4.0,0.0235,5.0,0.063,1
16.0,0.0023,66.0,0.04,71.0,0.0,2
16.0,0.0025,66.0,0.039,71.0,0.0,2
3.0,0.0025,4.0,0.023,5.0,0.061,1
3.0,0.013,4.0,0.0075,5.0,0.0535,1
3.0,0.044,4.0,0.0435,5.0,0.0257,1
16.0,0.0126,17.0,0.068,31.0,0.136,1
16.0,0.035,23.0,0.0888,31.0,0.011,1
17.0,0.05,23.0,0.0175,31.0,0.058,1
4.0,0.04,5.0,0.21,71.0,0.0,1
3.0,0.0135,4.0,0.0076,5.0,0.0535,1
3.0,0.0878,4.0,0.082,5.0,0.116,1
66.0,0.17,33.0,0.047,71.0,0.0,2
17.0,0.03,21.0,0.12,31.0,0.0284,1
33.0,0.18,55.0,0.43,71.0,0.0,2
17.0,0.03,21.0,0.12,31.0,0.0284,1
17.0,0.0515,23.0,0.0271,31.0,0.0354,1
17.0,0.0205,23.0,0.308,31.0,0.021,1
16.0,0.117,23.0,0.131,31.0,0.075,1
16.0,0.026,22.0,0.0,31.0,0.027,1
10.0,0.016,4.0,0.0086,5.0,0.063,1
39.0,1.5,71.0,0.0,71.0,0.0,2
17.0,0.029,21.0,0.122,31.0,0.0284,1
3.0,0.006,4.0,0.112,5.0,0.103,1
16.0,0.0023,66.0,0.04,71.0,0.0,2
17.0,0.0613,23.0,0.032,31.0,0.0415,1
16.0,0.0355,23.0,0.086,31.0,0.0103,1
33.0,0.07,66.0,0.145,71.0,0.0,2
16.0,0.0025,66.0,0.037,71.0,0.0,2
31.0,0.046,17.0,0.039,23.0,0.015,1
66.0,0.174,33.0,0.047,71.0,0.0,2
16.0,0.015,17.0,0.105,31.0,0.11,1
33.0,0.186,55.0,0.56,71.0,0.0,2
17.0,0.0588,23.0,0.0293,31.0,0.045,1
3.0,0.041,4.0,0.045,5.0,0.047,1
16.0,0.035,23.0,0.087,31.0,0.0115,1
16.0,0.0192,23.0,0.0888,31.0,0.06,1
3.0,0.0575,4.0,0.112,5.0,0.046,1
3.0,0.053,4.0,0.057,5.0,0.03,1
48.0,0.3,71.0,0.0,71.0,0.0,2
16.0,0.0315,23.0,0.081,31.0,0.0096,1
3.0,0.0296,4.0,0.0176,5.0,0.0995,1
3.0,0.095,4.0,0.093,5.0,0.126,1
17.0,0.066,21.0,0.029,31.0,0.068,1
16.0,0.0347,23.0,0.082,31.0,0.01,1
16.0,0.021,23.0,0.107,31.0,0.086,1
3.0,0.0278,4.0,0.01,5.0,0.13,1
33.0,0.185,55.0,0.35,71.0,0.0,2
